long,lat,materiales,dias_y_horario,direccion,barrio
-58.37514724,-34.61026975,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Horario de atención del edificio en el que está instalado,"ROCA, JULIO A., PRESIDENTE DIAGONAL SUR AV. 609",Monserrat
-58.3885474,-34.60428674,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Horario de atención del edificio en el que está instalado,CORRIENTES AV. 1530,San Nicolas
-58.36940346,-34.60408617,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Horario de atención del edificio en el que está instalado,SARMIENTO 151,San Nicolas
-58.368317,-34.61861958,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Horario de atención del edificio en el que está instalado,PASEO COLON AV. 922,San Telmo
-58.36831108,-34.61903424,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Horario de atención del edificio en el que está instalado,PASEO COLON AV. 922,San Telmo
-58.38584576,-34.57777041,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Horario de atención del edificio en el que está instalado,"CASTILLO, RAMON S., PRES. AV. 1750",Retiro
-58.36979432,-34.6120402,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Horario de atención del edificio en el que está instalado,PASEO COLON AV. 367,Monserrat
-58.36981976,-34.61142772,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Horario de atención del edificio en el que está instalado,PASEO COLON AV. 315,Monserrat
-58.38095968,-34.62637934,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Miércoles a Domingos de 11 a 19 hs.,"LIMA y GARAY, JUAN DE AV.",Constitucion
-58.39792572,-34.59992824,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Horario de atención del edificio en el que está instalado,CORDOBA AV. 2122,Balvanera
-58.41527627,-34.59682495,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Horario de atención del edificio en el que está instalado,"CABRERA, JOSE A. 3484",Recoleta
-58.37752803,-34.6392425,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Horario de atención del edificio en el que está instalado,HERRERA 813,Barracas
-58.3937484,-34.62373134,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Horario de atención del edificio en el que está instalado,SARANDI 1273,San Cristobal
-58.40555087,-34.61184594,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Horario de atención del edificio en el que está instalado,JUJUY AV. 150,Balvanera
-58.39463156,-34.62454728,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Horario de atención del edificio en el que está instalado,RINCON 1328,San Cristobal
-58.41802556,-34.56295745,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Horario de atención del edificio en el que está instalado,DORREGO AV. 4045,Palermo
-58.39711263,-34.60711404,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Horario de atención del edificio en el que está instalado,"PERON, JUAN DOMINGO, TTE. GENERAL 2143",Balvanera
-58.41202767,-34.62044012,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Horario de atención del edificio en el que está instalado,,
-58.39979731,-34.61095841,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Horario de atención del edificio en el que está instalado,,
-58.41133312,-34.6247438,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Horario de atención del edificio en el que está instalado,,
-58.41599907,-34.65194947,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Miércoles a Domingos de 11 a 19hs.,,
-58.35555032,-34.6344984,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Miércoles a Domingos de 11 a 19 hs.,,
-58.36703394,-34.64023642,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Miércoles a Domingos de 11 a 19 hs.,,
-58.37650264,-34.64423445,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Miércoles a Domingos de 11 a 19 hs.,,
-58.46138024,-34.65098226,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Horario de atención del edificio en el que está instalado,,
-58.4610148,-34.65136537,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Horario de atención del edificio en el que está instalado,,
-58.35654842,-34.62888758,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Horario de atención del edificio en el que está instalado,,
-58.40899366,-34.64411811,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Horario de atención del edificio en el que está instalado,,
-58.37872867,-34.64330678,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Horario de atención del edificio en el que está instalado,,
-58.37394464,-34.65454786,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Horario de atención del edificio en el que está instalado,,
-58.37398372,-34.65472998,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Horario de atención del edificio en el que está instalado,HERRERA 2424,Barracas
-58.4059436,-34.64138933,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Horario de atención del edificio en el que está instalado,LOS PATOS 3080,Parque Patricios
